COUNTRY,YEAR,GENDER,LIFEXP,UNEMPR,INFMOR,GDP,GNI,CLTECH,PERCAP,RTIMOR,TUBINC,DPTIMM,HEPIMM,MEAIMM,HOSBED,SANSER,TUBTRT,URBPOP,RURPOP,NCOMOR,SUIRAT
Bermuda,2019,Male,78.13,8.256285193,30.23476623,7484113000,7587978000,60.5930232,117098.4463,18.2292142,3.7,85.68526614,81.30778501,84.85472701,2.986345617,99.90314002,50,100,0,22.09954023,10.61922198
Bhutan,2019,Male,71.405,1.950000048,26.1,2535657069,2306109176,79.099998,3322.863329,16.2,165,97,97,97,1.688,75.23785494,94,41.612,58.388,19.6,6.3
Bolivia,2019,Male,68.684,3.382999897,23.7,40895322844,40048420225,85.5,3552.068143,21.1,106,75,75,79,1.117692308,63.89830649,83,69.773,30.227,17.5,8.4
Bosnia and Herzegovina,2019,Male,74.893,13.61999989,5.5,20201323260,20189076809,46.299999,6119.762345,13.5,27,73,80,68,3.327333333,95.21053244,32,48.626,51.374,24,17.6
Botswana,2019,Male,66.485,21.71899986,40.4,16593720656,16533279409,52.799999,7203.064221,26.4,253,95,95,97,2.05,79.75168982,72,70.172,29.828,32.7,26.3
Brazil,2019,Male,72.243,10.20600033,14.9,1.88E+12,1.83E+12,95.900002,8897.552966,16,46,73,80,91,2.395294118,89.29879625,69,86.824,13.176,18.6,10.9
Brunei Darussalam,2019,Male,74.728,5.968999863,10.4,13469422959,13830513708,100,31085.96193,7.5,64,99,99,97,2.601333333,96.34904195,75,77.942,22.058,20.2,4.4
Bulgaria,2019,Male,71.5,4.539000034,6,68915416142,66968982828,81.47117647,9879.268533,9.2,21,92,85,93,6.755,86.02459214,82,75.347,24.653,32.1,15.3
Burkina Faso,2019,Male,60.739,4.736000061,58.8,16178162030,15326472488,10.2,796.1152068,31,47,91,91,88,0.65,21.34059658,81,29.98,70.02,26.4,11.3
Burundi,2019,Male,59.764,1.968999982,44.2,2631434363,2637727944,0.2,228.2135892,35.5,107,93,93,92,1.13,45.74527589,94,13.366,86.634,26.9,9.2
Cabo Verde,2019,Male,69.526,12.6789999,14.1,1981845741,1938894076,78,3603.775241,26.8,46,96,97,98,2.1,77.47483233,89,66.195,33.805,23.2,21.3
Cambodia,2019,Male,67.538,0.116999999,25.5,27089389787,25525556830,31.200001,1643.121389,19.6,287,92,92,84,0.662857143,65.60982804,96,23.805,76.195,27.5,7
Cameroon,2019,Male,58.029,3.171999931,55,39670977333,38827845867,21.9,1533.095688,30.2,179,67,67,60,1.4,44.21838866,86,56.968,43.032,25.7,13.6
